group,setting,client,run_dir,png_path,MSE,PSNR,SSIM,LPIPS,LabelMatch
ablation,baseline,c0,results/ablation/baseline/c0,results/ablation/baseline/c0/baseline_attack_result.png,0.02633032761514187,27.836637198064793,0.9404812455177307,0.10311239957809448,1.0
ablation,baseline,c3,results/ablation/baseline/c3,results/ablation/baseline/c3/baseline_attack_result.png,0.027712751179933548,27.61440340202672,0.9321112036705017,0.0929749608039856,1.0
ablation,baseline,c7,results/ablation/baseline/c7,results/ablation/baseline/c7/baseline_attack_result.png,0.03099474310874939,27.12831941481639,0.9501805305480957,0.09725309908390045,1.0
ablation,init_fft,c0,results/ablation/init_fft/c0,results/ablation/init_fft/c0/baseline_attack_result.png,0.026572424918413162,27.796887940479888,0.9400237202644348,0.10802546888589859,1.0
ablation,init_fft,c3,results/ablation/init_fft/c3,results/ablation/init_fft/c3/baseline_attack_result.png,0.027442175894975662,27.6570143896974,0.9329609274864197,0.09257596731185913,1.0
ablation,init_fft,c7,results/ablation/init_fft/c7,results/ablation/init_fft/c7/baseline_attack_result.png,0.034734874963760376,26.633542427864647,0.9453161954879761,0.14570781588554382,1.0
ablation,metric_both,c0,results/ablation/metric_both/c0,results/ablation/metric_both/c0/baseline_attack_result.png,0.1417289823293686,20.526613139280258,0.706959068775177,0.5243900418281555,1.0
ablation,metric_both,c3,results/ablation/metric_both/c3,results/ablation/metric_both/c3/baseline_attack_result.png,0.08974109590053558,22.511286139080646,0.8127838969230652,0.45228341221809387,1.0
ablation,metric_both,c7,results/ablation/metric_both/c7,results/ablation/metric_both/c7/baseline_attack_result.png,0.15292659401893616,20.19636966626382,0.7350776791572571,0.4740031659603119,1.0
ablation,metric_cosine,c0,results/ablation/metric_cosine/c0,results/ablation/metric_cosine/c0/baseline_attack_result.png,0.22816717624664307,18.458668149675592,0.6473600268363953,0.48017871379852295,1.0
ablation,metric_cosine,c3,results/ablation/metric_cosine/c3,results/ablation/metric_cosine/c3/baseline_attack_result.png,0.14772331714630127,20.346709314284084,0.744814395904541,0.47655224800109863,1.0
